id,case_no,status,firs,summary_en,primary_crime_type,latest_date
CASE_13,202400001,Under Investigation,"[""FIR_13""]",The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by an unidentified assailant.,Dowry Death,2024-03-21
CASE_14,202500001,Under Investigation,"[""FIR_14""]",Police intercepted the accused near Ring Road and recovered 6.5 kg of ganja from their possession.,Ganja Possession,2025-07-22
CASE_15,202500001,Charge Sheeted,"[""FIR_15""]",The complainant reported that their scooter parked near College Road was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-10-26
CASE_16,202400001,Abated,"[""FIR_16""]",The accused attacked Manoj with a sharp weapon near College Road following a quarrel over a financial transaction. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2024-09-05
CASE_17,202400001,Closed (Undetected),"[""FIR_17""]",The victim Lakshmi died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her in-laws.,Dowry Death,2024-03-02
CASE_18,202400001,Closed (Undetected),"[""FIR_18""]","A group of persons allegedly assembled unlawfully near New Extension and engaged in rioting, causing damage to property.",Rioting,2024-09-19
CASE_19,202400001,Closed (False Case),"[""FIR_19""]",The complainant alleged repeated physical and mental harassment by her in-laws over dowry-related demands at their residence in Ring Road.,Domestic Violence,2024-08-27
CASE_20,202400002,Under Investigation,"[""FIR_20""]","The complainant reported that Manoj died following an altercation with her in-laws near Industrial Layout, suspected to involve a financial transaction.",Culpable Homicide,2024-01-30
CASE_21,202500001,Under Investigation,"[""FIR_21""]","Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 214,000.",Burglary,2025-01-30
CASE_22,202500001,Under Investigation,"[""FIR_22""]","The complainant, a woman walking near Temple Street, reported that two men on a motorcycle snatched her gold chain and sped away towards New Extension.",Chain Snatching,2025-06-24
CASE_23,202400001,Closed (Undetected),"[""FIR_23""]","The complainant reported that Manoj was found dead with injuries near MG Road, allegedly assaulted by his neighbour following a dispute over an extramarital affair suspicion.",Murder,2024-05-20
CASE_24,202400001,Closed (False Case),"[""FIR_24""]","The complainant stated that an unidentified assailant assaulted them near APMC Yard following an argument over past enmity, causing hurt.",Assault,2024-12-06
CASE_25,202400001,Charge Sheeted,"[""FIR_25""]","A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 6.9 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-05-29
CASE_26,202400001,Under Investigation,"[""FIR_26""]",Police recovered an unlicensed firearm from the accused during a routine check near Ring Road.,Illegal Firearm Possession,2024-11-22
CASE_27,202600001,Pending Trial,"[""FIR_27""]",Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.,Child Trafficking,2026-04-12
CASE_28,202500001,Under Investigation,"[""FIR_28""]",The complainant reported that an unidentified assailant made unwelcome advances and passed lewd remarks towards her near Old Town.,Sexual Harassment,2025-11-20
CASE_29,202400001,Closed (Undetected),"[""FIR_29""]","A group of persons allegedly assembled unlawfully near MG Road and engaged in rioting, causing damage to property.",Rioting,2024-12-13
CASE_30,202500001,Under Investigation,"[""FIR_30""]",The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Ring Road.,Sexual Harassment,2025-03-17
CASE_31,202400001,Under Investigation,"[""FIR_31""]",The complainant reported that their car parked near Market area was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2024-01-16
CASE_32,202400001,Under Investigation,"[""FIR_32""]","The complainant reported that Anitha was found dead with injuries near Church Street, allegedly assaulted by a former business partner following a dispute over a financial transaction.",Murder,2024-06-27
CASE_33,202500001,Under Investigation,"[""FIR_33""]",The complainant reported that their scooter parked near Industrial Layout was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-09-01
CASE_34,202500001,Under Investigation,"[""FIR_34""]",The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Temple Street.,Sexual Harassment,2025-10-12
CASE_35,202500001,Closed (Undetected),"[""FIR_35""]",The complainant reported that their motorcycle parked near Gandhi Nagar was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-11-01
CASE_36,202500001,Under Investigation,"[""FIR_36""]","The complainant alleged that the accused, entrusted with funds of Rs 437,000 for a business partnership, misappropriated the amount.",Criminal Breach of Trust,2025-07-25
CASE_37,202500001,Closed (Undetected),"[""FIR_37""]",The complainant reported that their car parked near Old Town was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-11-27
CASE_38,202400001,Charge Sheeted,"[""FIR_38""]","The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 328,000 and cash. The incident occurred while the family was away.",Theft,2024-04-10
CASE_39,202500001,Charge Sheeted,"[""FIR_39""]",The accused attacked Nagaraj with a knife near Station Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-05-17
CASE_40,202500002,Closed (Undetected),"[""FIR_40""]","The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 420,000.",Theft,2025-06-05
CASE_41,202500002,Charge Sheeted,"[""FIR_41""]",The complainant reported that the accused outraged her modesty near Railway Station Road.,Outraging Modesty,2025-06-21
CASE_42,202400001,Under Investigation,"[""FIR_42""]",Police intercepted the accused near New Extension and recovered 10.4 kg of ganja from their possession.,Ganja Possession,2024-03-06
CASE_43,202400002,Closed (Undetected),"[""FIR_43""]",The complainant reported an incident related to other ipc crimes occurring near Old Town. Investigation is underway to ascertain further facts.,Mischief,2024-07-07
CASE_44,202400001,Under Investigation,"[""FIR_44""]","Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 302,000.",Burglary,2024-03-15
CASE_45,202500002,Under Investigation,"[""FIR_45""]","The complainant reported that Manoj died following an altercation with his neighbour near MG Road, suspected to involve a business partnership.",Culpable Homicide,2025-05-25
CASE_46,202600001,Under Investigation,"[""FIR_46""]","The complainant, a woman walking near Industrial Layout, reported that two men on a motorcycle snatched her gold chain and sped away towards Church Street.",Chain Snatching,2026-03-11
CASE_47,202400001,Pending Trial,"[""FIR_47""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2024-01-01
CASE_48,202400001,Acquitted,"[""FIR_48""]",The complainant reported an incident related to other ipc crimes occurring near Main Bazaar. Investigation is underway to ascertain further facts.,Mischief,2024-02-16
CASE_49,202400001,Closed (Undetected),"[""FIR_49""]","The victim was attacked with a corrosive substance by the accused near MG Road, sustaining burn injuries.",Acid Attack,2024-09-07
CASE_50,202400002,Under Investigation,"[""FIR_50""]",The complainant stated that the accused has been following and contacting her repeatedly near Gandhi Nagar despite objection.,Stalking,2024-09-20
CASE_51,202400001,Pending Trial,"[""FIR_51""]",The complainant reported that the minor victim was subjected to abuse by a known acquaintance at Railway Station Road.,Child Abuse,2024-09-06
CASE_52,202500001,Compromised,"[""FIR_52""]",The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Temple Street.,Sexual Harassment,2025-02-25
CASE_53,202500001,Referred to Another PS,"[""FIR_53""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Bus Stand Road at knife-point.,Robbery,2025-12-16
CASE_54,202500001,Charge Sheeted,"[""FIR_54""]",The complainant reported an incident related to crimes against scs/sts occurring near Church Street. Investigation is underway to ascertain further facts.,Caste Abuse,2025-04-21
CASE_55,202600001,Under Investigation,"[""FIR_55""]","The complainant's bank account was debited for Rs 188,000 through fraudulent means allegedly involving the accused.",Bank Fraud,2026-04-23
CASE_56,202500001,Under Investigation,"[""FIR_56""]","A police patrol near APMC Yard intercepted a vehicle and recovered narcotic substances weighing 9.8 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-10-16
CASE_57,202400001,Charge Sheeted,"[""FIR_57""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2024-07-07
CASE_58,202400001,Charge Sheeted,"[""FIR_58""]","Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 391,000.",Burglary,2024-04-02
CASE_59,202500001,Closed (Undetected),"[""FIR_59""]","The complainant reported that the accused was driving a vehicle rashly near Market area, endangering pedestrians.",Rash Driving,2025-02-28
CASE_60,202500001,Pending Trial,"[""FIR_60""]",The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her husband.,Dowry Death,2025-02-14
CASE_61,202500001,Under Investigation,"[""FIR_61""]",The accused attacked Suresh with a sharp weapon near Market area following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-08-17
CASE_62,202500001,Under Investigation,"[""FIR_62""]",The victim was hit by an unidentified vehicle near Market area and sustained injuries; the driver fled the scene.,Hit and Run,2025-03-19
CASE_63,202500001,Pending Trial,"[""FIR_63""]",The complainant reported an incident related to crimes against public order occurring near College Road. Investigation is underway to ascertain further facts.,Promoting Enmity,2025-07-04
CASE_64,202400002,Under Investigation,"[""FIR_64""]",The complainant reported an incident related to crimes against public order occurring near New Extension. Investigation is underway to ascertain further facts.,Promoting Enmity,2024-12-09
CASE_65,202500001,Closed (False Case),"[""FIR_65""]",The victim Anitha was fatally attacked with a wooden stick by the accused near Old Town. The motive is suspected to be land boundary issues.,Murder,2025-02-18
CASE_66,202500001,Under Investigation,"[""FIR_66""]","A police patrol near MG Road intercepted a vehicle and recovered narcotic substances weighing 9.4 kg, suspected to be in transit for sale.",NDPS Trafficking,2025-06-15
CASE_67,202500001,Under Investigation,"[""FIR_67""]","The complainant reported that Kavya died following an altercation with a known acquaintance near Station Road, suspected to involve an extramarital affair suspicion.",Culpable Homicide,2025-12-04
CASE_68,202600001,Pending Trial,"[""FIR_68""]",The accused attacked Anitha with a knife near MG Road following a quarrel over a property dispute. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2026-01-06
CASE_69,202500002,Pending Trial,"[""FIR_69""]","The complainant paid an advance of Rs 146,000 to the accused for unpaid loan which was never delivered as promised.",Cheating,2025-04-19
CASE_70,202600001,Pending Trial,"[""FIR_70""]","Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 132,000.",Burglary,2026-03-26
CASE_71,202500001,Pending Trial,"[""FIR_71""]",The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,Hit and Run,2025-12-28
CASE_72,202400001,Charge Sheeted,"[""FIR_72""]","The complainant reported that Ramesh was found dead with injuries near Station Road, allegedly assaulted by a known acquaintance following a dispute over a family dispute.",Murder,2024-04-03
CASE_73,202400001,Under Investigation,"[""FIR_73""]","The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 138,000.",Theft,2024-02-03
CASE_74,202500001,Under Investigation,"[""FIR_74""]","Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 178,000.",Burglary,2025-03-22
CASE_75,202600001,Closed (Undetected),"[""FIR_75""]","A group of persons allegedly assembled unlawfully near APMC Yard and engaged in rioting, causing damage to property.",Rioting,2026-01-12
CASE_76,202400001,Under Investigation,"[""FIR_76""]","Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 372,000.",Burglary,2024-07-22
CASE_77,202500001,Under Investigation,"[""FIR_77""]","The complainant, a woman walking near Whitefield Main Road, reported that two men on a motorcycle snatched her gold chain and sped away towards ITPL Road. CCTV footage is being reviewed; the MO matches similar chain-snatching incidents reported recently in the city.",Chain Snatching,2025-01-17
CASE_78,202500002,Referred to Another PS,"[""FIR_78""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2025-04-21
CASE_79,202500001,Charge Sheeted,"[""FIR_79""]",The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near MG Road.,Sexual Harassment,2025-05-18
CASE_80,202600001,Charge Sheeted,"[""FIR_80""]","A group of persons allegedly assembled unlawfully near Main Bazaar and engaged in rioting, causing damage to property.",Rioting,2026-06-25
CASE_81,202500001,Under Investigation,"[""FIR_81""]",The complainant reported that the accused forged signatures on documents related to past enmity to gain wrongful benefit.,Forgery,2025-12-07
CASE_82,202400001,Charge Sheeted,"[""FIR_82""]","The complainant, a woman walking near College Road, reported that two men on a motorcycle snatched her gold chain and sped away towards College Road.",Chain Snatching,2024-11-29
CASE_83,202400001,Pending Trial,"[""FIR_83""]",The complainant stated that the accused has been following and contacting her repeatedly near Main Bazaar despite objection.,Stalking,2024-09-21
CASE_84,202600001,Closed (Undetected),"[""FIR_84""]","A group of armed persons robbed the complainant's shop at Railway Station Road, decamping with cash and goods worth Rs 379,000.",Dacoity,2026-06-12
CASE_85,202600001,Under Investigation,"[""FIR_85""]",The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2026-07-02
CASE_86,202500001,Under Investigation,"[""FIR_86""]",The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.,Stalking,2025-07-23
CASE_87,202600001,Charge Sheeted,"[""FIR_87""]",The complainant alleged repeated physical and mental harassment by a former business partner over dowry-related demands at their residence in Market area.,Domestic Violence,2026-06-24
CASE_88,202600002,Pending Trial,"[""FIR_88""]","A group of armed persons robbed the complainant's shop at Market area, decamping with cash and goods worth Rs 252,000.",Dacoity,2026-04-12
CASE_89,202600001,Closed (False Case),"[""FIR_89""]","Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 117,000.",Burglary,2026-01-14
CASE_90,202400001,Under Investigation,"[""FIR_90""]",The complainant reported an incident related to arms act offences occurring near Market area. Investigation is underway to ascertain further facts.,Illegal Arms Manufacturing,2024-04-02
CASE_91,202500003,Charge Sheeted,"[""FIR_91""]",Police intercepted the accused near Industrial Layout and recovered 10.5 kg of ganja from their possession.,Ganja Possession,2025-12-12
CASE_92,202500001,Under Investigation,"[""FIR_92""]","Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 209,000.",Burglary,2025-10-26
CASE_93,202600001,Pending Trial,"[""FIR_93""]",The complainant was robbed of cash and a mobile phone by unidentified persons near College Road at knife-point.,Robbery,2026-06-23
CASE_94,202500001,Charge Sheeted,"[""FIR_94""]",The accused attacked Ramesh with a sharp weapon near College Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-04-27
CASE_95,202500001,Charge Sheeted,"[""FIR_95""]",The accused was found driving under the influence of alcohol near Gandhi Nagar and was apprehended by a police patrol.,Drunken Driving,2025-10-10
CASE_96,202400001,Closed (Undetected),"[""FIR_96""]","The complainant, a woman walking near Bus Stand Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Market area.",Chain Snatching,2024-03-17
CASE_97,202500001,Charge Sheeted,"[""FIR_97""]",The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-10-16
CASE_98,202500001,Acquitted,"[""FIR_98""]",The victim Ramesh died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by a known acquaintance.,Dowry Death,2025-06-22
CASE_99,202600001,Under Investigation,"[""FIR_99""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.,Robbery,2026-06-25
CASE_100,202500004,Acquitted,"[""FIR_100""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.,Robbery,2025-09-12
CASE_101,202400002,Closed (Undetected),"[""FIR_101""]",The complainant reported an incident related to crimes against public order occurring near Old Town. Investigation is underway to ascertain further facts.,Promoting Enmity,2024-12-05
CASE_102,202600001,Under Investigation,"[""FIR_102""]","The complainant reported that the accused was driving a vehicle rashly near Industrial Layout, endangering pedestrians.",Rash Driving,2026-01-29
CASE_103,202600001,Acquitted,"[""FIR_103""]","The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries.",Acid Attack,2026-06-24
CASE_104,202600001,Charge Sheeted,"[""FIR_104""]",The complainant reported an incident related to crimes related to documents/property occurring near Market area. Investigation is underway to ascertain further facts.,Land Fraud,2026-02-14
CASE_105,202400001,Charge Sheeted,"[""FIR_105""]","The complainant paid an advance of Rs 300,000 to the accused for a property dispute which was never delivered as promised.",Cheating,2024-05-16
CASE_106,202500002,Under Investigation,"[""FIR_106""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2025-03-12
CASE_107,202500001,Pending Trial,"[""FIR_107""]",The accused was found driving under the influence of alcohol near Main Bazaar and was apprehended by a police patrol.,Drunken Driving,2025-12-30
CASE_108,202400001,Convicted,"[""FIR_108""]","Unknown persons broke into the complainant's premises at College Road at night and decamped with valuables worth Rs 72,000.",Burglary,2024-12-21
CASE_109,202500001,Under Investigation,"[""FIR_109""]",The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,Hit and Run,2025-10-02
CASE_110,202500001,Under Investigation,"[""FIR_110""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2025-02-05
CASE_111,202600001,Charge Sheeted,"[""FIR_111""]",Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.,Child Trafficking,2026-06-21
CASE_112,202400001,Pending Trial,"[""FIR_112""]","The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 199,000.",Theft,2024-11-28
CASE_113,202500002,Pending Trial,"[""FIR_113""]","Unknown persons broke into the complainant's premises at New Extension at night and decamped with valuables worth Rs 159,000.",Burglary,2025-05-21
CASE_114,202400001,Charge Sheeted,"[""FIR_114""]",The victim was hit by an unidentified vehicle near College Road and sustained injuries; the driver fled the scene.,Hit and Run,2024-11-18
CASE_115,202600001,Under Investigation,"[""FIR_115""]","A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 10.1 kg, suspected to be in transit for sale.",NDPS Trafficking,2026-01-29
CASE_116,202500002,Pending Trial,"[""FIR_116""]",The victim sustained grievous injuries after being attacked with a wooden stick by her husband near MG Road over a financial transaction.,Grievous Hurt,2025-04-16
CASE_117,202500001,Charge Sheeted,"[""FIR_117""]","Unknown persons broke into the complainant's premises at Church Street at night and decamped with valuables worth Rs 97,000.",Burglary,2025-06-22
CASE_118,202500005,Under Investigation,"[""FIR_118""]","The complainant received a call from an unknown person claiming to be a bank official, who obtained OTP details and transferred Rs 408,000 from the complainant's account.",Online Fraud,2025-02-14
CASE_119,202400003,Charge Sheeted,"[""FIR_119""]","A group of persons allegedly assembled unlawfully near APMC Yard and engaged in rioting, causing damage to property.",Rioting,2024-04-12
CASE_120,202400001,Charge Sheeted,"[""FIR_120""]","Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 299,000.",Burglary,2024-04-24
CASE_121,202400002,Convicted,"[""FIR_121""]",The victim Ramesh was fatally attacked with a knife by the accused near Gandhi Nagar. The motive is suspected to be past enmity.,Murder,2024-02-19
CASE_122,202600003,Under Investigation,"[""FIR_122""]",The accused attacked Deepa with a knife near Ring Road following a quarrel over a family dispute. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2026-04-28
CASE_123,202600001,Convicted,"[""FIR_123""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2026-01-20
CASE_124,202600001,Convicted,"[""FIR_124""]","A police patrol near MG Road intercepted a vehicle and recovered narcotic substances weighing 11.1 kg, suspected to be in transit for sale.",NDPS Trafficking,2026-01-08
CASE_125,202400001,Convicted,"[""FIR_125""]",The victim was hit by an unidentified vehicle near Main Bazaar and sustained injuries; the driver fled the scene.,Hit and Run,2024-02-23
CASE_126,202400004,Pending Trial,"[""FIR_126""]","A group of persons allegedly assembled unlawfully near Temple Street and engaged in rioting, causing damage to property.",Rioting,2024-03-01
CASE_127,202500001,Pending Trial,"[""FIR_127""]","The complainant paid an advance of Rs 170,000 to the accused for past enmity which was never delivered as promised.",Cheating,2025-02-02
CASE_128,202400001,Under Investigation,"[""FIR_128""]","A group gathered near Ring Road in violation of prohibitory orders, leading to a law and order situation.",Unlawful Assembly,2024-01-16
CASE_129,202400001,Closed (Undetected),"[""FIR_129""]","The complainant reported that Manoj was found dead with injuries near APMC Yard, allegedly assaulted by his neighbour following a dispute over a business partnership.",Murder,2024-05-10
CASE_130,202400001,Closed (Undetected),"[""FIR_130""]",The accused attacked Anitha with a knife near APMC Yard following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2024-07-13
CASE_131,202500003,Under Investigation,"[""FIR_131""]",The complainant stated that the accused has been following and contacting her repeatedly near MG Road despite objection.,Stalking,2025-12-31
CASE_132,202500001,Charge Sheeted,"[""FIR_132""]",The accused attacked Anitha with a sharp weapon near Ring Road following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-11-09
CASE_133,202500001,Convicted,"[""FIR_133""]","The complainant, a woman walking near Church Street, reported that two men on a motorcycle snatched her gold chain and sped away towards MG Road.",Chain Snatching,2025-12-27
CASE_134,202500002,Under Investigation,"[""FIR_134""]",The complainant reported an incident related to environmental offences occurring near Railway Station Road. Investigation is underway to ascertain further facts.,Wildlife Poaching,2025-12-03
CASE_135,202400002,Closed (Undetected),"[""FIR_135""]",The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in Railway Station Road.,Domestic Violence,2024-06-09
CASE_136,202400002,Compromised,"[""FIR_136""]",The complainant alleged repeated physical and mental harassment by his neighbour over dowry-related demands at their residence in Gandhi Nagar.,Domestic Violence,2024-01-17
CASE_137,202400001,Charge Sheeted,"[""FIR_137""]",The accused attacked Kavya with a iron rod near Temple Street following a quarrel over a family dispute. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2024-08-01
CASE_138,202600002,Closed (Undetected),"[""FIR_138""]","The complainant reported that Kavya was found dead with injuries near Railway Station Road, allegedly assaulted by his neighbour following a dispute over a business partnership.",Murder,2026-07-12
CASE_139,202400001,Pending Trial,"[""FIR_139""]",The complainant reported that the accused forged signatures on documents related to a financial transaction to gain wrongful benefit.,Forgery,2024-09-25
CASE_140,202400001,Closed (Undetected),"[""FIR_140""]",The complainant alleged repeated physical and mental harassment by her husband over dowry-related demands at their residence in MG Road.,Domestic Violence,2024-12-28
CASE_141,202500001,Under Investigation,"[""FIR_141""]",The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,Cyber Stalking,2025-06-11
CASE_142,202400001,Pending Trial,"[""FIR_142""]","The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 103,000 and cash. The incident occurred while the family was away.",Theft,2024-10-28
CASE_143,202400001,Under Investigation,"[""FIR_143""]",The victim Kavya was fatally attacked with a wooden stick by the accused near College Road. The motive is suspected to be past enmity.,Murder,2024-04-11
CASE_144,202400003,Under Investigation,"[""FIR_144""]","The complainant reported that Manoj died following an altercation with her husband near Station Road, suspected to involve past enmity.",Culpable Homicide,2024-04-06
CASE_145,202400001,Under Investigation,"[""FIR_145""]",The accused was found driving under the influence of alcohol near Main Bazaar and was apprehended by a police patrol.,Drunken Driving,2024-10-16
CASE_146,202400001,Pending Trial,"[""FIR_146""]","A police patrol near Main Bazaar intercepted a vehicle and recovered narcotic substances weighing 1.5 kg, suspected to be in transit for sale.",NDPS Trafficking,2024-04-14
CASE_147,202400001,Closed (Undetected),"[""FIR_147""]","The complainant, a woman walking near Ring Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Old Town.",Chain Snatching,2024-04-11
CASE_148,202600001,Closed (False Case),"[""FIR_148""]","Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 34,000.",Burglary,2026-06-30
CASE_149,202400001,Charge Sheeted,"[""FIR_149""]",The complainant reported that the accused forged signatures on documents related to an extramarital affair suspicion to gain wrongful benefit.,Forgery,2024-07-20
CASE_150,202500001,Charge Sheeted,"[""FIR_150""]",The accused attacked Nagaraj with a iron rod near Bus Stand Road following a quarrel over a financial transaction. The victim was rushed to hospital with grievous injuries.,Attempt to Murder,2025-02-16
CASE_151,202600004,Compromised,"[""FIR_151""]",The complainant alleged repeated physical and mental harassment by his neighbour over dowry-related demands at their residence in New Extension.,Domestic Violence,2026-03-22
CASE_152,202600001,Closed (False Case),"[""FIR_152""]",The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,Hit and Run,2026-06-08
CASE_153,202400002,Charge Sheeted,"[""FIR_153""]",The complainant was robbed of cash and a mobile phone by unidentified persons near Railway Station Road at knife-point.,Robbery,2024-01-29
CASE_154,202500003,Under Investigation,"[""FIR_154""]",The victim Kavya was fatally attacked with a wooden stick by the accused near Temple Street. The motive is suspected to be unpaid loan.,Murder,2025-02-04
CASE_155,202500001,Under Investigation,"[""FIR_155""]","The complainant clicked a fraudulent link received via SMS and lost Rs 382,000 from their bank account.",Phishing,2025-01-07
CASE_156,202500004,Under Investigation,"[""FIR_156""]",The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Old Town.,Sexual Harassment,2025-11-06
CASE_157,202400002,Under Investigation,"[""FIR_157""]","The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries.",Acid Attack,2024-11-05
CASE_158,202400002,Under Investigation,"[""FIR_158""]","The complainant discovered that a fraudulent account was created in their name and used to obtain a loan of Rs 382,000.",Identity Theft,2024-01-16
CASE_159,202400001,Pending Trial,"[""FIR_159""]","The complainant reported that the accused was driving a vehicle rashly near Railway Station Road, endangering pedestrians.",Rash Driving,2024-04-13
CASE_160,202500004,Under Investigation,"[""FIR_160""]",The complainant reported that their motorcycle parked near Market area was stolen overnight. The vehicle was not recovered at the time of registration.,Vehicle Theft,2025-10-08
CASE_161,202500001,Closed (False Case),"[""FIR_161""]",The complainant's confidential business data was allegedly copied and misused by a former employee.,Data Theft,2025-04-12
