CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
13,100170155202400001,202400001,2024-03-21,1,155,1,2,3,11,1,,2024-03-21 00:00:00,2024-03-22 00:00:00,2024-03-21 00:00:00,17.36741,76.874065,The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by an unidentified assailant.
14,100180157202500001,202500001,2025-07-22,63,157,1,1,8,32,1,,2025-07-15 00:00:00,2025-07-17 00:00:00,2025-07-18 00:00:00,12.430367,75.671124,Police intercepted the accused near Ring Road and recovered 6.5 kg of ganja from their possession.
15,100050123202500001,202500001,2025-10-26,44,123,1,1,2,10,2,33,2025-10-22 00:00:00,2025-10-23 00:00:00,2025-10-25 00:00:00,12.949261,77.684524,The complainant reported that their scooter parked near College Road was stolen overnight. The vehicle was not recovered at the time of registration.
16,800050117202400001,202400001,2024-09-05,158,117,8,2,1,2,10,,2024-09-02 00:00:00,2024-09-03 00:00:00,2024-09-04 00:00:00,12.919422,77.589372,The accused attacked Manoj with a sharp weapon near College Road following a quarrel over a financial transaction. The victim was rushed to hospital with grievous injuries.
17,100220169202400001,202400001,2024-03-02,68,169,1,2,3,11,5,,2024-03-01 00:00:00,2024-03-02 00:00:00,2024-03-02 00:00:00,12.328224,76.664063,The victim Lakshmi died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her in-laws.
18,100050116202400001,202400001,2024-09-19,10,116,1,1,10,37,5,,2024-09-12 00:00:00,2024-09-12 00:00:00,2024-09-13 00:00:00,12.963537,77.501156,"A group of persons allegedly assembled unlawfully near New Extension and engaged in rioting, causing damage to property."
19,100220165202400001,202400001,2024-08-27,139,165,1,2,3,12,6,,2024-08-24 00:00:00,2024-08-24 00:00:00,2024-08-25 00:00:00,12.303889,76.661865,The complainant alleged repeated physical and mental harassment by her in-laws over dowry-related demands at their residence in Ring Road.
20,100220165202400002,202400002,2024-01-30,166,165,1,2,1,3,1,,2024-01-28 00:00:00,2024-01-30 00:00:00,2024-01-30 00:00:00,12.327669,76.614471,"The complainant reported that Manoj died following an altercation with her in-laws near Industrial Layout, suspected to involve a financial transaction."
21,100050117202500001,202500001,2025-01-30,133,117,1,3,2,9,1,,2025-01-27 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,12.923838,77.65097,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 214,000."
22,100050120202500001,202500001,2025-06-24,138,120,1,2,2,55,1,,2025-06-22 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,12.957279,77.57202,"The complainant, a woman walking near Temple Street, reported that two men on a motorcycle snatched her gold chain and sped away towards New Extension."
23,100140149202400001,202400001,2024-05-20,129,149,1,2,1,1,5,,2024-05-18 00:00:00,2024-05-18 00:00:00,2024-05-18 00:00:00,15.450388,75.645413,"The complainant reported that Manoj was found dead with injuries near MG Road, allegedly assaulted by his neighbour following a dispute over an extramarital affair suspicion."
24,100090136202400001,202400001,2024-12-06,165,136,1,2,1,4,6,,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-03 00:00:00,13.2644,75.794271,"The complainant stated that an unidentified assailant assaulted them near APMC Yard following an argument over past enmity, causing hurt."
25,100230173202400001,202400001,2024-05-29,47,173,1,2,8,33,2,24,2024-05-28 00:00:00,2024-05-30 00:00:00,2024-05-29 00:00:00,16.213661,77.36448,"A police patrol near Bus Stand Road intercepted a vehicle and recovered narcotic substances weighing 6.9 kg, suspected to be in transit for sale."
26,300290179202400001,202400001,2024-11-22,59,179,3,2,9,35,1,,2024-11-15 00:00:00,2024-11-17 00:00:00,2024-11-18 00:00:00,15.182344,76.504343,Police recovered an unlicensed firearm from the accused during a routine check near Ring Road.
27,300050117202600001,202600001,2026-04-12,158,117,3,2,4,17,7,1,2026-04-10 00:00:00,2026-04-10 00:00:00,2026-04-12 00:00:00,12.979127,77.688258,Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.
28,100210163202500001,202500001,2025-11-20,24,163,1,2,3,13,1,,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-20 00:00:00,12.523696,76.848312,The complainant reported that an unidentified assailant made unwelcome advances and passed lewd remarks towards her near Old Town.
29,400190160202400001,202400001,2024-12-13,2,160,4,2,10,37,5,,2024-12-09 00:00:00,2024-12-11 00:00:00,2024-12-13 00:00:00,13.154551,78.10007,"A group of persons allegedly assembled unlawfully near MG Road and engaged in rioting, causing damage to property."
30,500060130202500001,202500001,2025-03-17,179,130,5,2,3,13,1,,2025-03-10 00:00:00,2025-03-10 00:00:00,2025-03-12 00:00:00,17.959871,77.529281,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Ring Road.
31,100030109202400001,202400001,2024-01-16,13,109,1,2,2,10,1,,2024-01-13 00:00:00,2024-01-14 00:00:00,2024-01-14 00:00:00,15.851245,74.538317,The complainant reported that their car parked near Market area was stolen overnight. The vehicle was not recovered at the time of registration.
32,100240174202400001,202400001,2024-06-27,102,174,1,1,1,1,1,,2024-06-20 00:00:00,2024-06-22 00:00:00,2024-06-22 00:00:00,12.76012,77.262494,"The complainant reported that Anitha was found dead with injuries near Church Street, allegedly assaulted by a former business partner following a dispute over a financial transaction."
33,300050117202500001,202500001,2025-09-01,61,117,3,2,2,10,1,,2025-08-28 00:00:00,2025-08-30 00:00:00,2025-09-01 00:00:00,12.982607,77.520671,The complainant reported that their scooter parked near Industrial Layout was stolen overnight. The vehicle was not recovered at the time of registration.
34,100220165202500001,202500001,2025-10-12,139,165,1,2,3,13,1,,2025-10-06 00:00:00,2025-10-08 00:00:00,2025-10-10 00:00:00,12.339354,76.684957,The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Temple Street.
35,800050126202500001,202500001,2025-11-01,89,126,8,3,2,10,5,,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,13.012987,77.599467,The complainant reported that their motorcycle parked near Gandhi Nagar was stolen overnight. The vehicle was not recovered at the time of registration.
36,100220172202500001,202500001,2025-07-25,114,172,1,2,6,24,1,,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-24 00:00:00,12.320082,76.676733,"The complainant alleged that the accused, entrusted with funds of Rs 437,000 for a business partnership, misappropriated the amount."
37,100090135202500001,202500001,2025-11-27,31,135,1,2,2,10,5,,2025-11-24 00:00:00,2025-11-26 00:00:00,2025-11-26 00:00:00,13.281889,75.785612,The complainant reported that their car parked near Old Town was stolen overnight. The vehicle was not recovered at the time of registration.
38,400020105202400001,202400001,2024-04-10,182,105,4,2,2,6,2,1,2024-04-08 00:00:00,2024-04-09 00:00:00,2024-04-10 00:00:00,15.152209,76.877442,"The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 328,000 and cash. The incident occurred while the family was away."
39,100120146202500001,202500001,2025-05-17,100,146,1,1,1,2,2,1,2025-05-16 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,14.47488,75.862346,The accused attacked Nagaraj with a knife near Station Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.
40,100050117202500002,202500002,2025-06-05,158,117,1,2,2,6,5,,2025-05-30 00:00:00,2025-06-01 00:00:00,2025-06-03 00:00:00,13.095908,77.513505,"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 420,000."
41,100220165202500002,202500002,2025-06-21,139,165,1,2,14,50,2,1,2025-06-15 00:00:00,2025-06-16 00:00:00,2025-06-19 00:00:00,12.321114,76.691299,The complainant reported that the accused outraged her modesty near Railway Station Road.
42,200220165202400001,202400001,2024-03-06,139,165,2,2,8,32,1,,2024-02-28 00:00:00,2024-02-29 00:00:00,2024-03-06 00:00:00,12.307961,76.635292,Police intercepted the accused near New Extension and recovered 10.4 kg of ganja from their possession.
43,200120146202400002,202400002,2024-07-07,200,146,2,2,15,54,5,,2024-07-04 00:00:00,2024-07-05 00:00:00,2024-07-07 00:00:00,14.425505,75.964687,The complainant reported an incident related to other ipc crimes occurring near Old Town. Investigation is underway to ascertain further facts.
44,100260176202400001,202400001,2024-03-15,52,176,1,2,2,9,1,,2024-03-11 00:00:00,2024-03-11 00:00:00,2024-03-14 00:00:00,13.36336,77.133137,"Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 302,000."
45,100050120202500002,202500002,2025-05-25,138,120,1,2,1,3,1,,2025-05-20 00:00:00,2025-05-21 00:00:00,2025-05-24 00:00:00,13.076551,77.672256,"The complainant reported that Manoj died following an altercation with his neighbour near MG Road, suspected to involve a business partnership."
46,100050124202600001,202600001,2026-03-11,138,124,1,2,2,55,1,,2026-03-08 00:00:00,2026-03-10 00:00:00,2026-03-10 00:00:00,12.908,77.532403,"The complainant, a woman walking near Industrial Layout, reported that two men on a motorcycle snatched her gold chain and sped away towards Church Street."
47,100050117202400001,202400001,2024-01-01,133,117,1,2,7,30,7,1,2023-12-31 00:00:00,2024-01-02 00:00:00,2024-01-01 00:00:00,13.075022,77.617025,The complainant's confidential business data was allegedly copied and misused by a former employee.
48,100030110202400001,202400001,2024-02-16,73,110,1,2,15,54,4,1,2024-02-11 00:00:00,2024-02-12 00:00:00,2024-02-15 00:00:00,15.868841,74.583889,The complainant reported an incident related to other ipc crimes occurring near Main Bazaar. Investigation is underway to ascertain further facts.
49,200050119202400001,202400001,2024-09-07,173,119,2,2,3,15,5,,2024-09-04 00:00:00,2024-09-04 00:00:00,2024-09-06 00:00:00,13.009281,77.693883,"The victim was attacked with a corrosive substance by the accused near MG Road, sustaining burn injuries."
50,200050119202400002,202400002,2024-09-20,175,119,2,2,3,14,1,,2024-09-13 00:00:00,2024-09-13 00:00:00,2024-09-18 00:00:00,12.92668,77.641543,The complainant stated that the accused has been following and contacting her repeatedly near Gandhi Nagar despite objection.
51,100110143202400001,202400001,2024-09-06,97,143,1,1,4,16,7,12,2024-09-03 00:00:00,2024-09-03 00:00:00,2024-09-03 00:00:00,12.899114,74.844802,The complainant reported that the minor victim was subjected to abuse by a known acquaintance at Railway Station Road.
52,300110144202500001,202500001,2025-02-25,50,144,3,2,3,13,9,,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-22 00:00:00,12.904871,74.832181,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Temple Street.
53,100170156202500001,202500001,2025-12-16,1,156,1,2,2,7,8,,2025-12-14 00:00:00,2025-12-14 00:00:00,2025-12-16 00:00:00,17.359079,76.809201,The complainant was robbed of cash and a mobile phone by unidentified persons near Bus Stand Road at knife-point.
54,200050123202500001,202500001,2025-04-21,5,123,2,1,5,22,2,1,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-18 00:00:00,13.020525,77.625299,The complainant reported an incident related to crimes against scs/sts occurring near Church Street. Investigation is underway to ascertain further facts.
55,100050115202600001,202600001,2026-04-23,153,115,1,1,6,26,1,,2026-04-16 00:00:00,2026-04-16 00:00:00,2026-04-19 00:00:00,12.90056,77.668165,"The complainant's bank account was debited for Rs 188,000 through fraudulent means allegedly involving the accused."
56,100290179202500001,202500001,2025-10-16,59,179,1,2,8,33,1,,2025-10-11 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,15.180205,76.438843,"A police patrol near APMC Yard intercepted a vehicle and recovered narcotic substances weighing 9.8 kg, suspected to be in transit for sale."
57,100050119202400001,202400001,2024-07-07,173,119,1,2,7,29,2,36,2024-06-30 00:00:00,2024-07-02 00:00:00,2024-07-07 00:00:00,13.006081,77.626749,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.
58,100280178202400001,202400001,2024-04-02,9,178,1,1,2,9,2,1,2024-03-30 00:00:00,2024-04-01 00:00:00,2024-04-01 00:00:00,14.807961,74.662505,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 391,000."
59,800210164202500001,202500001,2025-02-28,65,164,8,2,11,40,5,,2025-02-27 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,12.525316,76.956155,"The complainant reported that the accused was driving a vehicle rashly near Market area, endangering pedestrians."
60,100130148202500001,202500001,2025-02-14,170,148,1,2,3,11,7,1,2025-02-11 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,15.496493,75.038329,The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her husband.
61,100020105202500001,202500001,2025-08-17,195,105,1,1,1,2,1,,2025-08-17 00:00:00,2025-08-19 00:00:00,2025-08-17 00:00:00,15.093629,76.862515,The accused attacked Suresh with a sharp weapon near Market area following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.
62,100010103202500001,202500001,2025-03-19,72,103,1,2,11,41,1,,2025-03-12 00:00:00,2025-03-14 00:00:00,2025-03-17 00:00:00,16.216055,75.644255,The victim was hit by an unidentified vehicle near Market area and sustained injuries; the driver fled the scene.
63,800220165202500001,202500001,2025-07-04,166,165,8,2,10,39,7,37,2025-06-27 00:00:00,2025-06-28 00:00:00,2025-07-02 00:00:00,12.315718,76.633551,The complainant reported an incident related to crimes against public order occurring near College Road. Investigation is underway to ascertain further facts.
64,100050116202400002,202400002,2024-12-09,10,116,1,1,10,39,1,,2024-12-07 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,12.912697,77.698272,The complainant reported an incident related to crimes against public order occurring near New Extension. Investigation is underway to ascertain further facts.
65,100040113202500001,202500001,2025-02-18,176,113,1,3,1,1,6,,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-18 00:00:00,13.256155,77.583549,The victim Anitha was fatally attacked with a wooden stick by the accused near Old Town. The motive is suspected to be land boundary issues.
66,100050125202500001,202500001,2025-06-15,160,125,1,2,8,33,1,,2025-06-08 00:00:00,2025-06-10 00:00:00,2025-06-12 00:00:00,13.061844,77.699327,"A police patrol near MG Road intercepted a vehicle and recovered narcotic substances weighing 9.4 kg, suspected to be in transit for sale."
67,100280178202500001,202500001,2025-12-04,9,178,1,2,1,3,1,,2025-11-29 00:00:00,2025-11-29 00:00:00,2025-11-30 00:00:00,14.800191,74.676508,"The complainant reported that Kavya died following an altercation with a known acquaintance near Station Road, suspected to involve an extramarital affair suspicion."
68,100050116202600001,202600001,2026-01-06,10,116,1,2,1,2,7,35,2026-01-03 00:00:00,2026-01-03 00:00:00,2026-01-06 00:00:00,13.072814,77.629619,The accused attacked Anitha with a knife near MG Road following a quarrel over a property dispute. The victim was rushed to hospital with grievous injuries.
69,100050116202500002,202500002,2025-04-19,10,116,1,3,6,23,7,36,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,12.934901,77.672661,"The complainant paid an advance of Rs 146,000 to the accused for unpaid loan which was never delivered as promised."
70,200220168202600001,202600001,2026-03-26,118,168,2,2,2,9,7,1,2026-03-24 00:00:00,2026-03-24 00:00:00,2026-03-24 00:00:00,12.338359,76.608987,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 132,000."
71,100140150202500001,202500001,2025-12-28,60,150,1,2,11,41,7,1,2025-12-21 00:00:00,2025-12-23 00:00:00,2025-12-25 00:00:00,15.385824,75.571085,The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.
72,200050114202400001,202400001,2024-04-03,121,114,2,2,1,1,2,1,2024-03-30 00:00:00,2024-04-01 00:00:00,2024-04-02 00:00:00,13.074167,77.671137,"The complainant reported that Ramesh was found dead with injuries near Station Road, allegedly assaulted by a known acquaintance following a dispute over a family dispute."
73,200250175202400001,202400001,2024-02-03,125,175,2,2,2,6,1,,2024-01-28 00:00:00,2024-01-30 00:00:00,2024-02-01 00:00:00,13.897374,75.555119,"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 138,000."
74,100160154202500001,202500001,2025-03-22,92,154,1,2,2,9,1,,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-22 00:00:00,14.82874,75.373908,"Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 178,000."
75,200110142202600001,202600001,2026-01-12,184,142,2,2,10,37,5,,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-11 00:00:00,12.919638,74.82976,"A group of persons allegedly assembled unlawfully near APMC Yard and engaged in rioting, causing damage to property."
76,100160153202400001,202400001,2024-07-22,54,153,1,3,2,9,1,,2024-07-17 00:00:00,2024-07-17 00:00:00,2024-07-21 00:00:00,14.754165,75.415281,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 372,000."
77,300050125202500001,202500001,2025-01-17,160,125,3,2,2,55,1,,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,13.037078,77.529587,"The complainant, a woman walking near Whitefield Main Road, reported that two men on a motorcycle snatched her gold chain and sped away towards ITPL Road. CCTV footage is being reviewed; the MO matches similar chain-snatching incidents reported recently in the city."
78,100010103202500002,202500002,2025-04-21,72,103,1,1,7,30,8,,2025-04-18 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,16.20443,75.641825,The complainant's confidential business data was allegedly copied and misused by a former employee.
79,300220165202500001,202500001,2025-05-18,166,165,3,2,3,13,2,23,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-15 00:00:00,12.319354,76.638541,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near MG Road.
80,100210164202600001,202600001,2026-06-25,65,164,1,2,10,37,2,22,2026-06-18 00:00:00,2026-06-20 00:00:00,2026-06-25 00:00:00,12.516816,76.917679,"A group of persons allegedly assembled unlawfully near Main Bazaar and engaged in rioting, causing damage to property."
81,100260176202500001,202500001,2025-12-07,120,176,1,2,6,25,1,,2025-12-04 00:00:00,2025-12-06 00:00:00,2025-12-07 00:00:00,13.38905,77.096793,The complainant reported that the accused forged signatures on documents related to past enmity to gain wrongful benefit.
82,100220168202400001,202400001,2024-11-29,118,168,1,2,2,55,2,37,2024-11-29 00:00:00,2024-11-30 00:00:00,2024-11-29 00:00:00,12.306152,76.615384,"The complainant, a woman walking near College Road, reported that two men on a motorcycle snatched her gold chain and sped away towards College Road."
83,100310181202400001,202400001,2024-09-21,150,181,1,1,3,14,7,32,2024-09-19 00:00:00,2024-09-19 00:00:00,2024-09-21 00:00:00,16.784729,77.142806,The complainant stated that the accused has been following and contacting her repeatedly near Main Bazaar despite objection.
84,100010103202600001,202600001,2026-06-12,72,103,1,1,2,8,5,,2026-06-05 00:00:00,2026-06-05 00:00:00,2026-06-08 00:00:00,16.170777,75.735078,"A group of armed persons robbed the complainant's shop at Railway Station Road, decamping with cash and goods worth Rs 379,000."
85,100070131202600001,202600001,2026-07-02,37,131,1,2,2,10,1,,2026-06-27 00:00:00,2026-06-27 00:00:00,2026-07-02 00:00:00,11.899534,76.888494,The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.
86,500110144202500001,202500001,2025-07-23,50,144,5,1,3,14,1,,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,12.901831,74.840168,The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.
87,100040112202600001,202600001,2026-06-24,146,112,1,1,3,12,2,1,2026-06-21 00:00:00,2026-06-23 00:00:00,2026-06-24 00:00:00,13.281234,77.556826,The complainant alleged repeated physical and mental harassment by a former business partner over dowry-related demands at their residence in Market area.
88,100050116202600002,202600002,2026-04-12,10,116,1,2,2,8,7,40,2026-04-06 00:00:00,2026-04-08 00:00:00,2026-04-08 00:00:00,13.060394,77.671328,"A group of armed persons robbed the complainant's shop at Market area, decamping with cash and goods worth Rs 252,000."
89,400050126202600001,202600001,2026-01-14,42,126,4,2,2,9,6,,2026-01-09 00:00:00,2026-01-09 00:00:00,2026-01-13 00:00:00,12.981786,77.612986,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 117,000."
90,100060129202400001,202400001,2024-04-02,1,129,1,2,9,36,1,,2024-03-27 00:00:00,2024-03-29 00:00:00,2024-03-29 00:00:00,17.86644,77.565592,The complainant reported an incident related to arms act offences occurring near Market area. Investigation is underway to ascertain further facts.
91,100050120202500003,202500003,2025-12-12,94,120,1,2,8,32,2,34,2025-12-08 00:00:00,2025-12-08 00:00:00,2025-12-12 00:00:00,13.003246,77.593133,Police intercepted the accused near Industrial Layout and recovered 10.5 kg of ganja from their possession.
92,100270177202500001,202500001,2025-10-26,75,177,1,2,2,9,1,,2025-10-21 00:00:00,2025-10-23 00:00:00,2025-10-24 00:00:00,13.389428,74.728927,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 209,000."
93,100090136202600001,202600001,2026-06-23,165,136,1,2,2,7,7,10,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-06-17 00:00:00,13.379535,75.822732,The complainant was robbed of cash and a mobile phone by unidentified persons near College Road at knife-point.
94,100060130202500001,202500001,2025-04-27,154,130,1,2,1,2,2,1,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-27 00:00:00,17.891316,77.573328,The accused attacked Ramesh with a sharp weapon near College Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.
95,300050123202500001,202500001,2025-10-10,44,123,3,1,11,42,2,1,2025-10-09 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,13.002673,77.519445,The accused was found driving under the influence of alcohol near Gandhi Nagar and was apprehended by a police patrol.
96,100050127202400001,202400001,2024-03-17,78,127,1,2,2,55,5,,2024-03-13 00:00:00,2024-03-13 00:00:00,2024-03-13 00:00:00,12.923414,77.599226,"The complainant, a woman walking near Bus Stand Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Market area."
97,100050115202500001,202500001,2025-10-16,30,115,1,2,2,10,2,33,2025-10-13 00:00:00,2025-10-15 00:00:00,2025-10-15 00:00:00,13.068215,77.699632,The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.
98,100050122202500001,202500001,2025-06-22,76,122,1,1,3,11,4,36,2025-06-21 00:00:00,2025-06-21 00:00:00,2025-06-21 00:00:00,12.916801,77.651831,The victim Ramesh died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by a known acquaintance.
99,100120145202600001,202600001,2026-06-25,62,145,1,3,2,7,1,,2026-06-20 00:00:00,2026-06-22 00:00:00,2026-06-22 00:00:00,14.494991,75.917567,The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.
100,100050120202500004,202500004,2025-09-12,94,120,1,2,2,7,4,33,2025-09-10 00:00:00,2025-09-11 00:00:00,2025-09-12 00:00:00,12.987064,77.665035,The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.
101,100050117202400002,202400002,2024-12-05,158,117,1,1,10,39,5,,2024-11-29 00:00:00,2024-12-01 00:00:00,2024-12-03 00:00:00,12.981248,77.51742,The complainant reported an incident related to crimes against public order occurring near Old Town. Investigation is underway to ascertain further facts.
102,200060130202600001,202600001,2026-01-29,179,130,2,2,11,40,1,,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-26 00:00:00,17.904898,77.50025,"The complainant reported that the accused was driving a vehicle rashly near Industrial Layout, endangering pedestrians."
103,100050125202600001,202600001,2026-06-24,160,125,1,1,3,15,4,36,2026-06-24 00:00:00,2026-06-25 00:00:00,2026-06-24 00:00:00,13.091541,77.572475,"The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries."
104,100070132202600001,202600001,2026-02-14,66,132,1,1,13,47,2,8,2026-02-13 00:00:00,2026-02-13 00:00:00,2026-02-14 00:00:00,11.978142,76.968149,The complainant reported an incident related to crimes related to documents/property occurring near Market area. Investigation is underway to ascertain further facts.
105,500280178202400001,202400001,2024-05-16,39,178,5,2,6,23,2,1,2024-05-12 00:00:00,2024-05-13 00:00:00,2024-05-15 00:00:00,14.827041,74.647162,"The complainant paid an advance of Rs 300,000 to the accused for a property dispute which was never delivered as promised."
106,100260176202500002,202500002,2025-03-12,52,176,1,2,7,30,1,,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-12 00:00:00,13.302519,77.15016,The complainant's confidential business data was allegedly copied and misused by a former employee.
